Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,Season,PPG
71,Wolayta Dicha,26,8,11,7,18,21,−3,35,,2015/16,1.3461538461538463
72,Hawassa Kenema,26,9,8,9,32,34,−2,35,,2015/16,1.3461538461538463
73,Arba Minch Kenema,26,9,8,9,18,24,−6,35,,2014/15,1.3461538461538463
74,Arba Minch Kenema,26,8,11,7,19,19,0,35,,2013/14,1.3461538461538463
75,Muger Cemento,26,8,11,7,28,32,−4,35,,2011/12,1.3461538461538463
76,Harar Bira,33,9,17,7,28,24,+4,44,,2009/10,1.3333333333333333
77,Ethiopia Bunna,26,9,7,10,42,42,0,34,,2011/12,1.3076923076923077
78,Arba Minch Kenema,26,7,13,6,29,25,+4,34,,2012/13,1.3076923076923077
79,Mekelakeya,26,9,7,10,21,21,0,34,,2014/15,1.3076923076923077
80,CBA,26,7,13,6,30,31,−1,34,,2011/12,1.3076923076923077
81,Adama Kenema,30,10,9,11,29,39,−10,39,,2010/11,1.3
82,Ethiopia Bunna,30,10,9,11,27,23,+4,39,,2018/19,1.3
83,Sebeta Kenema,34,12,8,14,28,31,−3,44,,2009/10,1.2941176470588236
84,Welwalo Adigrat University,29,9,10,10,16,21,−5,37,,2018/19,1.2758620689655173
85,Sidama Bunna,26,7,12,7,27,30,−3,33,,2011/12,1.2692307692307692
86,Harar Bira,26,8,9,9,22,22,0,33,,2011/12,1.2692307692307692
87,Wolayta Dicha,26,9,6,11,20,24,−4,33,,2014/15,1.2692307692307692
88,Arba Minch Kenema,26,7,12,7,25,20,+5,33,,2015/16,1.2692307692307692
89,Hawassa Kenema,26,9,6,11,29,34,−5,33,,2014/15,1.2692307692307692
90,Mekelakeya,26,7,12,7,22,20,+2,33,,2015/16,1.2692307692307692
91,Sidama Bunna,30,9,11,10,30,33,−3,38,,2017/18,1.2666666666666666
92,Harar Bira,30,8,14,8,28,26,+2,38,,2010/11,1.2666666666666666
93,Dire Dawa Kenema,34,10,12,12,30,42,−12,42,,2009/10,1.2352941176470589
94,CBA,34,11,9,14,48,52,−4,42,,2009/10,1.2352941176470589
95,Mekelakeya,30,8,13,9,24,35,−11,37,,2016/17,1.2333333333333334
96,Woldia Kenema,30,9,10,11,18,20,−2,37,,2016/17,1.2333333333333334
97,Muger Cemento,30,10,7,13,24,30,−6,37,,2010/11,1.2333333333333334
98,Arba Minch Kenema,26,8,8,10,25,35,−10,32,,2011/12,1.2307692307692308
99,Mekelakeya,26,7,11,8,28,30,−2,32,,2011/12,1.2307692307692308
100,Hawassa Kenema,26,8,8,10,24,28,−4,32,,2013/14,1.2307692307692308
101,Trans Ethiopia,34,9,14,11,27,36,−9,41,,2009/10,1.2058823529411764
102,Wolayta Dicha,30,9,9,12,24,30,−6,36,,2016/17,1.2
103,EEPCO,30,9,9,12,35,35,0,36,,2010/11,1.2
104,CBA,30,9,9,12,33,39,−6,36,,2010/11,1.2
105,Dire Dawa Kenema,30,10,6,14,25,41,−16,36,,2010/11,1.2
106,Hawassa Kenema,30,8,12,10,27,33,−6,36,,2017/18,1.2
107,Muger Cemento,26,8,7,11,23,29,−6,31,,2013/14,1.1923076923076923
108,Dedebit,26,8,7,11,37,31,+6,31,,2013/14,1.1923076923076923
109,Ethiopian Insurance,34,11,7,16,38,45,−7,40,,2009/10,1.1764705882352942
110,EEPCO,34,10,10,14,39,43,−4,40,,2009/10,1.1764705882352942
111,Trans Ethiopia,30,9,8,13,29,40,−11,35,,2010/11,1.1666666666666667
112,Dire Dawa Kenema,30,9,8,13,29,34,−5,35,,2018/19,1.1666666666666667
113,Dire Dawa Kenema,30,7,14,9,16,17,−1,35,,2017/18,1.1666666666666667
114,Wolayta Dicha,30,8,11,11,25,27,−2,35,,2017/18,1.1666666666666667
115,Adama Kenema,30,8,11,11,28,28,0,35,,2018/19,1.1666666666666667
116,Welwalo Adigrat University,30,8,11,11,22,32,−10,35,,2017/18,1.1666666666666667
117,EEPCO,30,9,8,13,32,47,−15,35,Relegation to 2018-19 Ethiopian Higher League,2017/18,1.1666666666666667
118,Mekelakeya,30,9,8,13,23,26,−3,35,,2017/18,1.1666666666666667
119,Hawassa Kenema,30,9,8,13,35,37,−2,35,,2016/17,1.1666666666666667
120,Dire Dawa Kenema,30,8,11,11,21,29,−8,35,,2016/17,1.1666666666666667
